# Rime user dictionary
#@/db_name	terra_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	4257
#@/user_id	e046fdd6-b287-4fb1-baa6-1a5de5d90fd4
dao4 ban3 de5 	盜版的	c=1 d=0.0356146 t=4257
dao4 bei3 jing1 	到北京	c=1 d=0.0294518 t=4257
dao4 huo4 	到貨	c=1 d=0.683861 t=4257
dao4 ka3 li3 	到卡里	c=1 d=0.219808 t=4257
dao4 ke3 yi3 	到可以	c=1 d=0.00479587 t=4257
dao4 le5 	到了	c=1 d=1.93611e-08 t=4257
dao4 li3 	道理	c=1 d=2.02522e-08 t=4257
dao4 li4 	倒立	c=1 d=0.133322 t=4257
dao4 lu4 	道路	c=0 d=0.00413782 t=4257
dao4 na3 	到哪	c=1 d=0.000140543 t=4257
dao4 qu1 gan4 qu1 	到軀幹屈	c=1 d=6.33133e-06 t=4257
dao4 ren2 sheng1 	到人生	c=1 d=0.0152985 t=4257
dao4 shi2 	到時	c=1 d=0.00117675 t=4257
dao4 wei3 	到尾	c=1 d=0.000141955 t=4257
dao4 zhong1 li4 wei4 	到中立位	c=1 d=0.00141589 t=4257
de2 guo2 	德國	c=3 d=0.138952 t=4257
de5 	的	c=49 d=2.50304 t=4257
de5 bang1 mang2 	的幫忙	c=1 d=0.201897 t=4257
de5 cheng2 gong1 	的成功	c=1 d=0.133989 t=4257
de5 dong4 zuo4 	的動作	c=1 d=1.38474e-06 t=4257
de5 fa1 zhan3 	的發展	c=1 d=0.064894 t=4257
de5 fang1 fa3 	的方法	c=1 d=3.83023e-05 t=4257
de5 fu4 jian4 	的附件	c=1 d=0.000742862 t=4257
de5 gong1 neng2 	的功能	c=1 d=0.366045 t=4257
de5 han2 yi4 	的含義	c=1 d=0.00554422 t=4257
de5 hui1 fu4 	的恢復	c=1 d=0.0216013 t=4257
de5 ji1 rou4 	的肌肉	c=1 d=0.000564257 t=4257
de5 jin4 jie1 	的進階	c=1 d=1.43036e-05 t=4257
de5 ke4 hu4 	的客戶	c=1 d=0.00491728 t=4257
de5 li4 liang5 	的力量	c=1 d=4.06708e-05 t=4257
de5 miao2 shu4 	的描述	c=1 d=6.65595e-06 t=4257
de5 ren4 zhi1 	的認知	c=1 d=0.125556 t=4257
